ID,User,date,review,rating,type
17,anhtong1405,"2023-07-09 17:20 | Phân loại hàng: Đen,XL",Màu sắc: đenquần đẹp lắm ạ nên mua nha mn 🥹,,normal
7,anlanlanlanl,"2024-03-02 12:10 | Phân loại hàng: Áo Trễ Vai,M",@運命: Đi bệnh viện đi các bạn ơi minh khuyên thật vừa rẻ vừa nhanh đỡ chứ ra tiệm thuốc mua loại này nó không đỡ đâu con tốn nhiều tiền hơn🥰,,normal
8,annghialt,"2023-07-12 12:22 | Phân loại hàng: Xám,M","Hàng y hình. Rất đẹp. Vải co giãn, nhẹ. Form quần nhẹ nhàng mà đẹp. Rất ưng.",,normal
10,annguyen2004176,"2023-06-22 00:24 | Phân loại hàng: ÁO CROPTOP HOA,M",1báo cáo,,normal
11,annmabel,2023-01-04 21:02 | Phân loại hàng: Đen - L,"Chất liệu: kakiMàu sắc: màu đenĐúng với mô tả: đúngQuần đẹp,chất vải dày dặn,đáng mua nha.Mà quần mới lấy ra có mùi quá.",,normal
11,apwuo3r1as,2022-08-11 18:29 | Phân loại hàng: M,Chất liệu: đẹp dày dặnMàu sắc: nâuchất đẹp form đẹp lắm ạ,,normal
13,ari_2104,"2022-11-20 18:37 | Phân loại hàng: 5,M",Chất liệu: bthMàu sắc: nâuko đẹp lắm,,normal
17,armybtsforever30,"2023-01-06 20:54 | Phân loại hàng: Đen,S","Chất liệu: vải dùMàu sắc: đenĐúng với mô tả: đẹpOmg xinh lắm lun áaaaaaa, tuỵt zời🤌✨",,normal
6,b*****1,"2024-07-23 08:46 | Phân loại hàng: Quà Tặng Buộc Tóc,XL",,,normal
17,b*****2,"2023-04-15 10:38 | Phân loại hàng: Xám,L",,,normal
17,b*****2,"2023-07-25 09:24 | Phân loại hàng: Đen,XL",,,normal
17,b*****6,"2023-07-20 12:35 | Phân loại hàng: Đen,S",,,normal
17,b*****6,"2023-07-20 12:37 | Phân loại hàng: Đen,XL",,,normal
4,b*****g,"2024-07-07 23:00 | Phân loại hàng: Chun buộc tóc,S",,,normal
4,babyalexi,"2024-05-03 05:55 | Phân loại hàng: Xám Đen,M",Xuất sắc nhé,,normal
11,bana93,2023-01-02 07:27 | Phân loại hàng: Đen - XXL,"Hàng đẹp vải đúng chuẩn quảng châu luôn và chất lượng lắm, giao hàng nhanh, mình sẽ ủng hộ shop tiếp tục",,normal
11,bana93,2023-02-04 13:47 | Phân loại hàng: Kem - XXL,"Mua ở shop lần 2 và chất lượng lắm. Giao hàng nhanh nữa, sẽ ủng hộ shop tiếp tục, hình ảnh mang tính chất nhận xu",,normal
17,banhbao0508,"2022-12-15 20:07 | Phân loại hàng: Xanh Rêu,L","Màu sắc: xanhĐúng với mô tả: quần đẹpChất liệu: vải tàm tạmQuần thật sự đẹp y hình nhưng mới bỏ máy giặt có 1 lần mà nó rách cái bẹn thành 2 lổ luôn🥲,tr ơi tui nói nó tiếc cái quần dễ sợ",,normal
17,baoduonggia350,"2023-02-05 01:00 | Phân loại hàng: Đen,XXL",ảnh đó là lí do gì để lên cấp trên trực tiếp với em là ngày cuối năm mới 6,,normal
16,baohoang28924,"2024-04-08 21:19 | Phân loại hàng: Quần Ribbon Hồng,S",,,normal
8,baonghi0258,"2023-08-10 01:14 | Phân loại hàng: Hồng,S","Quần đẹp nhưng chất vải mỏng, với giá 300 mấy mà chất vải như v mình thấy k đáng. Màu quần tươi với đậm hơn xíu nha, do mình đã giặt 2 lần ròi, à quần có ra màu nha nên giặt riêng nhé",,normal
17,beo.0507.14,"2022-11-11 10:58 | Phân loại hàng: Xanh Rêu,S",Đẹp,,normal
7,bettydsw,2019-08-20 19:44 | Phân loại hàng: Áo Vest,"Hàng chất lượng, đẹp hơn hình, đóng gói chắc chắn, kĩ càng, nhân viên tư vấn nhiệt tình, yêu shop nhiềuuu ❤️😘! Ship hàng nhanh chóng! Cảm ơn shop nhiềuuuuu",,normal
14,bgyuvdtbb,"2021-12-27 09:23 | Phân loại hàng: Đỏ,XL","Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.",,normal
18,bin318966220,"2022-11-07 11:49 | Phân loại hàng: 10,M",,,normal
11,binasi2000,2023-06-29 10:37 | Phân loại hàng: Đen - L,"Chất liệu: vải kakiĐúng với mô tả: đúngMàu sắc: đen, xanh rêuQuần siêu đẹp vải dày dặn cầm đầm tay",,normal
20,binhpsnlt04,"2019-12-03 19:15 | Phân loại hàng: Đen,M",Chất vải mềm nhưng vẫn đứng form đc. Shop ib siêu tận tình còn đổi size giúp mình nữa nhưng vẫn rộng hơn mình tưởng hic. Rất thích cách làm việc của shop. Chưa kịp chụp nên lấy đỡ ảnh này. Sẵn tiện e pass áo trong hình luôn ạ:)) ai qtam vào trang e nha. Áo còn chưa tháo tag,,normal
16,bsmqkw89m2,"2024-06-11 18:08 | Phân loại hàng: Quần Ribbon Xám,XL","Màu sắc: hơi tối so với hình nhưng cx dcShop giao nhanh lắm luôn ý , nchuyen dthw nữaaaa , lịch sự thân thiện lắmmmm 🫶 (hinh anh mang tinh chat minh hoa)",,normal
13,btrbtraha23,"2023-02-08 08:03 | Phân loại hàng: 1,S",Chất liệu: dep iMàu sắc: brownĐúng với mô tả: yup,,normal
