ID,product_name,price,discount,flex-none src,rating,Number sale
55,[ SẴN] QUẦN BÒ LOE TÚI VẠCH VUÔNG TUA RUA GẤU HÀNG QUẢNG CHÂU LOẠI 1,259.0,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 251
56,ÁO CROPTOP BIKER SPORT PHONG CÁCH THỂ THAO CÁ TÍNH [ Hàng có sẵn một số mã ],159.0,-39%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 105
57,ÁO CROPTOP LEN ĐAN DÂY [ Hàng Có Sẵn Ship Liền],199.0,-20%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 101
58,TÚI TOTE BAG ĐEO CHÉO HOẠ TIẾT ĐƠN GIẢN [ Hàng Có Sẵn ],91.0,-39%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.6,Đã bán 110
59,ÁO CROPTOP / TEE RÚT DÂY XÁM CÁ TÍNH CHẤT VẢI DÀY ĐẸP [ Hàng Có Sẵn Ship Liền Hoả Tốc ],49.0,-11%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.7,Đã bán 252
60,SET ÁO LEN KÈM ÁO TRONG TAY DÀI THÊU CHỮ ĐỎ CÓ TRẮNG VÀ ĐEN [ Hàng Có Sẵn ],99.0,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 70
61,TÁCH SET CROPTOP ĐỎ + QUẦN JEAN ỐNG RỘNG ĐẮP 2 TÚI [ Hàng Có Sẵn Áo Liền Hoả Tốc ],81.0,-9%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 329
62,QUẦN JEAN ỐNG LOE MÀI BẠC TRƠN PHONG CÁCH HÀN QUỐC [ Hàng Có Sẵn Ship Liền ],61.0,-31%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 184
63,QUẦN JEAN TRƠN NHÚN EO XANH NHẠT ỐNG RỘNG  [ Hàng Có Sẵn Ship Liền ]A,229.0,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 31
64,CHÂN VÁY BÒ QUẢNG CHÂU KÈM DÂY ĐAI [ Hàng Có Sẵn Ship Liền ],179.0,-28%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 40
65,ÁO HAI DÂY CÓ KÈM MIẾNG LÓT BẢNG MÀU ĐA DẠNG [ Hàng Có Sẵn Ship Liền ],106.0,-3%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 45
66,ÁO CROPTOP TAY DÀI MỎNG KÈM ÁO DÂY [ Hàng Có Sẵn Ship Liền ],196.0,-2%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.7,Đã bán 122
67,QUẦN MÓC KHOÁ XANH ĐẬM [ Hàng có sẵn ],91.0,-8%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 69
68,TỔNG HỢP CHÂN VÁY NGẮN XOÈ XẾP LY NƠ [ CÓ MỤC CHỌN PHÂN LOẠI ],199.0,-26%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.6,Đã bán 57
69,ÁO CROPTOP TAY NGẮN VÀ TAY DÀI PHONG CÁCH RETRO,81.0,-18%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.7,Đã bán 170
70,SET ÁO LƯỚI TAY DÀI KÈM BRA TRƠN HÀNG QC LOẠI 1 [ Hàng Có Sẵn Ship Liền],129.0,-14%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 90
71,ÁO CROTOP EIBBON MÙA HÈ DỄ THƯƠNG [ Hàng Order Vui Lòng Không Huỷ ],209.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.6,Đã bán 70
72,QUẦN JEAN QUẢNG CHÂU TÚI HỘP XÁM KHÓI CÁ TÍNH [ Hàng Có Sẵn Ship Liền ],109.0,-9%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 183
73,QUẦN BÒ ỐNG RỘNG RÁCH XÁM ĐEN DÀI [ Hàng có sẵn ship liền ],92.2,-7%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 303
74,[ Hàng có sẵn ] TÁCH SET ÁO VOAN TRỄ VAI QUẦN VẢI ĐŨI ỐNG RỘNG LƯNG CHUN HÀNG QC LOẠI 1 CHẤT ĐẸP  (Full Bảng Màu),81.0,-9%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.8,Đã bán 222
75,ÁO CROPTOP SÁT NÁCH FULL BẢNG MÀU CÓ MÚT NGỰC [ Hàng có sẵn ],120.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 134
76,YẾM NGẮN IN HÌNH NGỘ NGHĨNH ÁO CROPTOP REN XINH XẮN  [ Hàng Có Sẵn ],219.0,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,4.9,Đã bán 75
77,QUẦN JOGGER VẢI MÁT PHONG CÁCH ĐƯỜNG PHỐ [ Hàng Có Sẵn Ship Liền ],122.0,-39%,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.0.0-mr-20240805121008/pc/d7099d3fd1dfdaf705ab.svg,5.0,Đã bán 16
