ID,User,rating,date,review
1,huongngyn1810,5 Sao (585),"2022-06-17 10:57 | Phân loại hàng: Đen,M","huongngyn18102022-06-17 10:57 | Phân loại hàng: Đen,MChất liệu: vải cotton co dãnMàu sắc: đenĐúng với mô tả: in hình sắc nétMình m53 47kg size M mặc đến ngang mông,ai muốn mặc rộng thì mua size L nhee,hình ảnh mang tính minh hoạ hoi nha,tại mình giặt áo rồi quên ch chụp 😂2báo cáo"
1,duyen200305,5 Sao (585),"2022-09-08 14:12 | Phân loại hàng: Trắng,S","duyen2003052022-09-08 14:12 | Phân loại hàng: Trắng,Shữu ích?báo cáo"
1,2*****p,5 Sao (585),"2022-11-08 14:12 | Phân loại hàng: Trắng,L","2*****p2022-11-08 14:12 | Phân loại hàng: Trắng,LChất liệu: totMàu sắc: depĐúng với mô tả: vải đẹpĐã nhận được hàng, shop giao hàng nhanh, vải đẹp, hình in trên áo đẹp, sẽ ủng hộ tiếp!!!!!!!!!!!!!!!!!!hữu ích?báo cáo"
1,minhtrannggp,5 Sao (585),"2022-01-11 20:24 | Phân loại hàng: Đen,M","minhtrannggp2022-01-11 20:24 | Phân loại hàng: Đen,Mvải áo dày, mịn, nhưng đằng sau hình in có những viền sọc mờ (nếu nhìn kĩ sẽ thấy ạ)  shop ship nhanh nhưng mình nghĩ shop nên có thêm 1 cái túi bọc ở ngoài hộp khi giao hàng vì khi khi shipper giao tới hộp của mình bị móp méo tả tơi :(( 0:08 hữu ích?báo cáo"
1,lehoangduckien,5 Sao (585),"2022-05-29 21:12 | Phân loại hàng: Đen,M","lehoangduckien2022-05-29 21:12 | Phân loại hàng: Đen,MFom chuẩn , mẫu mã đẹp , đa dạng , hình in sắc nét , nhưng có vẻ mặc hơi nóng , ủng hộ shop 5 sao về chất lượng, giao hàng nhanh lắm mn nên thử nhé 0:21  1báo cáo"
1,xuntinu,5 Sao (585),"2022-04-29 12:40 | Phân loại hàng: Đen,M","xuntinu2022-04-29 12:40 | Phân loại hàng: Đen,MÁO RẤT ĐẸP VẢI CÒN XỊN NX , GIAO HÀNG RẤT NHANH TRONG VÒNG 2 NGÀY HÀNG ĐÃ VỀ RỒI , TÔI RẤT THÍCH , CÁC BN NHANH MUA ĐI KẺO HẾThữu ích?báo cáo"
1,p*****6,5 Sao (585),"2022-06-01 20:04 | Phân loại hàng: Đen,L","p*****62022-06-01 20:04 | Phân loại hàng: Đen,LChất liệu: tốtMàu sắc: đẹpÁo đẹp lắm nha mọi ngườiiiiii8ii, nên mua nhéeeeeeee 0:13 hữu ích?báo cáo"
1,l*****0,5 Sao (585),"2021-12-28 18:58 | Phân loại hàng: Đen,M","l*****02021-12-28 18:58 | Phân loại hàng: Đen,MÁo đỉnh lắm nha mn     1báo cáo"
1,a*****6,5 Sao (585),"2021-11-26 16:43 | Phân loại hàng: Trắng,M","a*****62021-11-26 16:43 | Phân loại hàng: Trắng,MXinh nhưng vải hơi thô, mình m73 55kg mặc vừa, bạn nào mặc rộng thì mua hơn 1 sz nha. Áo mỏng nên bạn nào mua thì cân nhắc 1 xíu. Đóng gói kĩ ạ, có card dth lắm nha. 0:33  hữu ích?báo cáo"
1,aprua84ejc,5 Sao (585),"2022-01-11 12:50 | Phân loại hàng: Đen,L","aprua84ejc2022-01-11 12:50 | Phân loại hàng: Đen,LHàng đẹp, giao đúng hàng, mọi người nên mua nha, đáng tiền nha mọi người🥰 0:04 hữu ích?báo cáo"
