User,rating,date,review
l*****8,5 Sao (279),"2022-01-11 19:43 | Phân loại hàng: Đen,L","l*****82022-01-11 19:43 | Phân loại hàng: Đen,Láo đẹp, dày,chất liệu ok,giao hàng hơi lâu đóng gói sản phẩm đẹp🥰🥰 0:21 hữu ích?báo cáo"
dquinn102,5 Sao (279),"2021-11-19 22:41 | Phân loại hàng: Đen,L","dquinn1022021-11-19 22:41 | Phân loại hàng: Đen,LXinh quá chời luônn, dù có 100 mấy thôi mà vải xịnn cực hữu ích?báo cáo"
b*****2,5 Sao (279),"2021-12-18 10:50 | Phân loại hàng: Đen,S","b*****22021-12-18 10:50 | Phân loại hàng: Đen,SThời gian giao hàng nhanh. Áo đẹp phù hợp với giá tiền! 👍👍👍👍👍👍 0:04hữu ích?báo cáo"
vantrang96,5 Sao (279),"2021-12-11 07:13 | Phân loại hàng: Đen,M","vantrang962021-12-11 07:13 | Phân loại hàng: Đen,MÁo xinh. 1 chăm mấy mà xinn xò lắm nhaaaaaaaaaaaaaaaaaaaaaaaaaaaa 0:261báo cáo"
phamanh29012003,5 Sao (279),"2022-04-18 10:32 | Phân loại hàng: Đen,M","phamanh290120032022-04-18 10:32 | Phân loại hàng: Đen,MÁo chất vải được hình in thì thấy ko được đẹp như trên hình nhưng giá rẻ nên đánh 5 sao 0:04 hữu ích?báo cáo"
khanhvy2301._,5 Sao (279),"2021-10-12 14:18 | Phân loại hàng: Đen,M","khanhvy2301._2021-10-12 14:18 | Phân loại hàng: Đen,MÁo đẹp ạ, shop rất dễ thương, do mình lười chụp hình nên mn thông cảm nha. hữu ích?báo cáo"
phuongluong397,5 Sao (279),"2022-04-04 15:07 | Phân loại hàng: Đen,M","phuongluong3972022-04-04 15:07 | Phân loại hàng: Đen,MÁo đẹp lắm á các bạn, chất vải dày dặn, đáng đồng tiền bát gạo..  hữu ích?báo cáo"
Người dùng Shopee,5 Sao (279),"2021-12-21 20:54 | Phân loại hàng: Đen,S","Người dùng Shopee2021-12-21 20:54 | Phân loại hàng: Đen,SÁo khá đẹp ksjaisbsbkabajbsbsbdjdbdjdushshsbshsjjshsusiseiehesi 0:07 1báo cáo"
qneetanhh,5 Sao (279),"2021-12-15 15:57 | Phân loại hàng: Đen,S","qneetanhh2021-12-15 15:57 | Phân loại hàng: Đen,S 0:11    1báo cáo"
duc05122002,5 Sao (279),"2022-03-15 17:27 | Phân loại hàng: Đen,M","duc051220022022-03-15 17:27 | Phân loại hàng: Đen,MÁo rất đẹp ạ em sẽ lên clip rivew về áo này ạ 
Nhưng em nghĩ shop nên bóc thêm chống sốc bên ngoài để hộp kh bị méo khi đến tay người nhận 0:16 hữu ích?báo cáo"
thanhthao030505,5 Sao (279),"2021-10-12 13:22 | Phân loại hàng: Đen,L","thanhthao0305052021-10-12 13:22 | Phân loại hàng: Đen,LÁo xịn lắm lun , local brand phù hợp với giá tiền mng nên mua nhaaa ❤️hữu ích?báo cáo"
h*****7,5 Sao (279),"2022-01-04 14:19 | Phân loại hàng: Đen,L","h*****72022-01-04 14:19 | Phân loại hàng: Đen,LÁo xinhh lâm nhaaaa, còn được tặng móc khoá nữa chứ 🥰 mình 1m64 54kg mặc L vừa tầm nhaa hữu ích?báo cáo"
bnhthintrn,5 Sao (279),"2022-01-21 11:31 | Phân loại hàng: Đen,M","bnhthintrn2022-01-21 11:31 | Phân loại hàng: Đen,MÁo rất đẹp,hình in rõ nét nhưng hộp hơi bị móp méo,chắc là do bên vận chuyển ấyyy 0:04   hữu ích?báo cáo"
lesmanh,5 Sao (279),"2022-06-15 11:28 | Phân loại hàng: Đen,L","lesmanh2022-06-15 11:28 | Phân loại hàng: Đen,LÁo đẹp xỉu . Nhw hơi to một chút . Áo thơm . Đóng gói đẹp . 10đ:>hữu ích?báo cáo"
porcupnie.vn,5 Sao (279),"2022-08-06 17:19 | Phân loại hàng: Đen,M","porcupnie.vn2022-08-06 17:19 | Phân loại hàng: Đen,MÁo đẹp, dầy dặn, hình in sắc nét, quá ưnghữu ích?báo cáo"
fsd06vztyn,5 Sao (279),"2021-12-18 11:13 | Phân loại hàng: Đen,S","fsd06vztyn2021-12-18 11:13 | Phân loại hàng: Đen,SÁo đẹp lắm ạ mỗi tội cái hộp hơi móp méo mà ko s cả chất lượng oke là ổn 
Hình ảnh chỉ để nhânn xu thoii hữu ích?báo cáo"
q*****7,5 Sao (279),"2021-12-26 08:24 | Phân loại hàng: Đen,L","q*****72021-12-26 08:24 | Phân loại hàng: Đen,LÁo xinh lắm, vải cũng tạm tạm nhưng với giá này là khá là ok rồiiii 0:18hữu ích?báo cáo"
h*****2,5 Sao (279),"2022-10-14 12:11 | Phân loại hàng: Đen,M","h*****22022-10-14 12:11 | Phân loại hàng: Đen,MShop nhiệt tình lắm, do cần áo gấp nên đặt hoả tốc mà nhanh hơn dự đoán luôn, mỗi tội không kịp chụp fb lại đã bị cướp áohữu ích?báo cáo"
thaolinh312,5 Sao (279),"2022-02-26 19:16 | Phân loại hàng: Đen,M","thaolinh3122022-02-26 19:16 | Phân loại hàng: Đen,MChất lượng sản phẩm tuyệt vời Giao hàng nhanh đóng gói cẩn thậnhữu ích?báo cáo"
kimhuong171094,5 Sao (279),"2022-03-05 21:10 | Phân loại hàng: Đen,L","kimhuong1710942022-03-05 21:10 | Phân loại hàng: Đen,LÁo đẹp, hợp giá tiền, giao hàng nhanh, đóng gói cẩn thận. Do quên chụp ảnh sản phẩm..nên mn thông cảm ạ.hữu ích?báo cáo"
t*****3,5 Sao (279),"2021-10-21 14:23 | Phân loại hàng: Đen,M","t*****32021-10-21 14:23 | Phân loại hàng: Đen,MÁo đẹp vải mịn ạhữu ích?báo cáo"
congvinh2k04,5 Sao (279),"2022-04-15 21:10 | Phân loại hàng: Đen,L","congvinh2k042022-04-15 21:10 | Phân loại hàng: Đen,LÁo đẹp chất lượng ổnhữu ích?báo cáo"
yghny7xfyv,5 Sao (279),"2022-05-29 09:54 | Phân loại hàng: Đen,L","yghny7xfyv2022-05-29 09:54 | Phân loại hàng: Đen,LChất vải xịn khá ổnhữu ích?báo cáo"
thao.108,5 Sao (279),"2021-11-11 09:02 | Phân loại hàng: Đen,L","thao.1082021-11-11 09:02 | Phân loại hàng: Đen,LÁo rất là oke nha mn vải tốt đẹphữu ích?báo cáo"
